Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"19/10/20, 11:19",Third Student,-,File: How to Identify Phonemes and Allophones: Flowchart,File,Course module viewed,The user with id '762592' viewed the 'resource' activity with course module id '117363'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,-,File: Phonology practice: Japanese [t] [ts],File,Course module viewed,The user with id '762592' viewed the 'resource' activity with course module id '117361'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,-,File: Phonology practice: English phonotactics,File,Course module viewed,The user with id '762592' viewed the 'resource' activity with course module id '117360'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,-,File: Phonology practice: English [ai],File,Course module viewed,The user with id '762592' viewed the 'resource' activity with course module id '117359'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,Third Student,Blackboard Collaborate Ultra: Tutorial Group 4 for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421707' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,Third Student,Blackboard Collaborate Ultra: Tutorial Group 4 for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421707' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,-,Blackboard Collaborate Ultra: Tutorial Group 4 for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762592' viewed the 'collaborate' activity with course module id '2421707'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,Third Student,Blackboard Collaborate Ultra: Tutorial Group 3 for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421706' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,Third Student,Blackboard Collaborate Ultra: Tutorial Group 3 for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421706' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,-,Blackboard Collaborate Ultra: Tutorial Group 3 for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762592' viewed the 'collaborate' activity with course module id '2421706'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,Third Student,Blackboard Collaborate Ultra: Tutorial Group 2 for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421705' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,Third Student,Blackboard Collaborate Ultra: Tutorial Group 2 for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421705' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,-,Blackboard Collaborate Ultra: Tutorial Group 2 for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762592' viewed the 'collaborate' activity with course module id '2421705'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,Third Student,Blackboard Collaborate Ultra: Tutorial Group 1 for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421703' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,Third Student,Blackboard Collaborate Ultra: Tutorial Group 1 for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421703' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,-,Blackboard Collaborate Ultra: Tutorial Group 1 for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762592' viewed the 'collaborate' activity with course module id '2421703'.,web,128.86.177.101
"19/10/20, 11:19",Third Student,-,File: Tutorial Exercises for Week 3,File,Course module viewed,The user with id '762592' viewed the 'resource' activity with course module id '117356'.,web,128.86.177.101
"19/10/20, 11:07",Some Instructor,-,File: How to Identify Phonemes and Allophones: Flowchart,File,Course module viewed,The user with id '26152' viewed the 'resource' activity with course module id '117363'.,web,144.82.8.58
"19/10/20, 11:07",Fourth Student,-,File: Tutorial Exercises for Week 3,File,Course module viewed,The user with id '762427' viewed the 'resource' activity with course module id '117356'.,web,123.120.224.6
"19/10/20, 11:06",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '5' of the course with id '7101'.,web,144.82.8.58
"19/10/20, 11:04",Third Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '762592' launched the session with id '086a60b8b3864cef81e80871c4ec82d5' for the Collab with course module id '2421700'.,web,128.86.177.101
"19/10/20, 11:04",Some Instructor,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '26152' launched the session with id '086a60b8b3864cef81e80871c4ec82d5' for the Collab with course module id '2421700'.,web,144.82.8.58
"19/10/20, 11:04",Third Student,Third Student,Blackboard Collaborate Ultra: Q&amp;A for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421700' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:04",Third Student,Third Student,Blackboard Collaborate Ultra: Q&amp;A for Week 3,System,Course activity completion updated,The user with id '762592' updated the completion state for the course module with id '2421700' for the user with id '762592'.,web,128.86.177.101
"19/10/20, 11:04",Third Student,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '762592' viewed the 'collaborate' activity with course module id '2421700'.,web,128.86.177.101
"19/10/20, 11:03",Some Instructor,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Collab session launched,The user with id '26152' launched the session with id '086a60b8b3864cef81e80871c4ec82d5' for the Collab with course module id '2421700'.,web,144.82.8.58
"19/10/20, 11:02",Some Instructor,-,Blackboard Collaborate Ultra: Q&amp;A for Week 3,Blackboard Collaborate Ultra,Course module viewed,The user with id '26152' viewed the 'collaborate' activity with course module id '2421700'.,web,144.82.8.58
"19/10/20, 11:02",Some Instructor,-,Course: PLIN1234: Introduction to Language ,System,Course viewed,The user with id '26152' viewed the section number '5' of the course with id '7101'.,web,144.82.8.58
