Time,User full name,Affected user,Event context,Component,Event name,Description,Origin,IP address
"5/10/20, 10:52",Third Student,Third Student,File: Tutorial 1 slides/printer-friendly handout version,System,Course activity completion updated,The user with id '746609' updated the completion state for the course module with id '2365781' for the user with id '746609'.,web,219.248.25.240
"5/10/20, 10:51",Third Student,Third Student,File: Tutorial 1 slides,System,Course activity completion updated,The user with id '746609' updated the completion state for the course module with id '2365375' for the user with id '746609'.,web,219.248.25.240
"5/10/20, 10:51",Third Student,-,File: Tutorial 1 slides/printer-friendly handout version,File,Course module viewed,The user with id '746609' viewed the 'resource' activity with course module id '2365781'.,web,219.248.25.240
"5/10/20, 10:42",Third Student,-,File: Tutorial 1 slides,File,Course module viewed,The user with id '746609' viewed the 'resource' activity with course module id '2365375'.,web,219.248.25.240
"5/10/20, 10:41",Third Student,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '746609' viewed the course with id '7102'.,web,219.248.25.240
"5/10/20, 10:41",Third Student,-,File: Tutorial 1 slides,File,Course module viewed,The user with id '746609' viewed the 'resource' activity with course module id '2365375'.,web,219.248.25.240
"5/10/20, 10:08",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 09:50",Second Student,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '762410' viewed the course with id '7102'.,web,113.210.205.70
"5/10/20, 09:50",Second Student,-,Zoom meeting: Online seminar 12 noon 5th of October,Zoom meeting,Course module viewed,The user with id '762410' viewed the 'zoom' activity with course module id '2349711'.,web,113.210.205.70
"5/10/20, 09:34",Module Leader,-,Forum: Announcements,Forum,Discussion viewed,The user with id '78727' has viewed the discussion with id '418638' in the forum with course module id '117432'.,web,2.24.164.84
"5/10/20, 09:32",Module Leader,-,Forum: Announcements,Forum,Course module viewed,The user with id '78727' viewed the 'forum' activity with course module id '117432'.,web,2.24.164.84
"5/10/20, 09:32",Module Leader,-,Forum: Announcements,Forum,Discussion created,The user with id '78727' has created the discussion with id '418638' in the forum with course module id '117432'.,web,2.24.164.84
"5/10/20, 09:32",Module Leader,-,Forum: Announcements,Forum,Some content has been posted.,The user with id '78727' has posted content in the forum post with id '793248' in the discussion '418638' located in the forum with course module id '117432'.,web,2.24.164.84
"5/10/20, 09:22",Second Student,-,External tool: Introduction to Language and Linguistics/Part 4,External tool,Course module viewed,The user with id '762410' viewed the 'lti' activity with course module id '2365463'.,web,113.210.205.70
"5/10/20, 09:14",Module Leader,-,Forum: Announcements,Forum,Course module viewed,The user with id '78727' viewed the 'forum' activity with course module id '117432'.,web,2.24.164.84
"5/10/20, 09:14",Module Leader,-,External tool: Welcome to Core Issues in Linguistics,External tool,Course module viewed,The user with id '78727' viewed the 'lti' activity with course module id '2347790'.,web,2.24.164.84
"5/10/20, 09:14",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 09:13",Module Leader,-,Zoom meeting: Online seminar 12 noon 5th of October,Zoom meeting,Course module viewed,The user with id '78727' viewed the 'zoom' activity with course module id '2349711'.,web,2.24.164.84
"5/10/20, 09:08",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 08:59",Second Student,-,External tool: Introduction to Language and Linguistics/Part 3,External tool,Course module viewed,The user with id '762410' viewed the 'lti' activity with course module id '2365453'.,web,113.210.205.70
"5/10/20, 08:54",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 08:54",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 08:53",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 08:53",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 08:53",Module Leader,-,URL: Please click here to join Alina during her office hours: Fridays 10am to 11am,URL,Course module viewed,The user with id '78727' viewed the 'url' activity with course module id '2366157'.,web,2.24.164.84
"5/10/20, 08:51",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 08:48",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 08:48",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 08:47",Module Leader,-,URL: Please click here to join Alina during her office hours: Fridays 10am to 11am,URL,Course module viewed,The user with id '78727' viewed the 'url' activity with course module id '2366157'.,web,2.24.164.84
"5/10/20, 08:47",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 08:47",Module Leader,-,Forum (Advanced): Discussion Forum (anonymous if you prefer) (copy),Forum (Advanced),Course module viewed,The user with id '78727' viewed the 'hsuforum' activity with course module id '2262967'.,web,2.24.164.84
"5/10/20, 08:47",Module Leader,-,Course: PLIN1234: Core Issues in Linguistics,System,Course viewed,The user with id '78727' viewed the course with id '7102'.,web,2.24.164.84
"5/10/20, 07:33",Third Student,Third Student,Label: Seminars,System,Course activity completion updated,The user with id '746609' updated the completion state for the course module with id '2349732' for the user with id '746609'.,web,219.248.25.240
"5/10/20, 07:33",Third Student,Third Student,File: Lecture 1 slides,System,Course activity completion updated,The user with id '746609' updated the completion state for the course module with id '2349776' for the user with id '746609'.,web,219.248.25.240
"5/10/20, 07:32",Third Student,Third Student,External tool: Introduction to Language and Linguistics/Part 4,System,Course activity completion updated,The user with id '746609' updated the completion state for the course module with id '2365463' for the user with id '746609'.,web,219.248.25.240
